noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.01,2,square_7.mat,6,ILSVRC2012_val_00038157.JPEG.png,24.365663528442383,0.5501554608345032,26.869882583618164,142,0.6845970749855042,0.0003873248351737857,3.087700092704006,250,0.5,0.99,0.92,80.0,2.55,0.1
0.01,2,square_7.mat,7,ILSVRC2012_val_00044012.JPEG.png,27.540679931640625,0.681359052658081,33.482452392578125,139,0.884631335735321,0.0005081143463030457,3.150243794659982,250,0.5,0.99,0.92,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,1,ILSVRC2012_val_00000491.JPEG.png,26.693986892700195,0.6649107336997986,27.083498001098633,161,0.6998764872550964,0.00016543568926863372,3.098437284619984,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,2,ILSVRC2012_val_00002289.JPEG.png,27.606237411499023,0.7890741229057312,28.207530975341797,150,0.8654701709747314,0.00015945074846968055,3.09245059778,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,3,ILSVRC2012_val_00005941.JPEG.png,25.15279769897461,0.7924740314483643,25.584291458129883,149,0.8257685303688049,0.00021705668768845499,3.09630499573602,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,4,ILSVRC2012_val_00007658.JPEG.png,25.97566032409668,0.6822502613067627,26.449308395385742,154,0.7315134406089783,0.00019267653988208622,3.1426684277320165,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.828096389770508,0.6192572712898254,22.980636596679688,160,0.6325938105583191,0.0003169662377331406,3.0435750829000026,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,6,ILSVRC2012_val_00038157.JPEG.png,26.14335823059082,0.6387729644775391,26.62188148498535,141,0.6686367988586426,0.00012034361134283245,3.159112582967995,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,1,gaussian_1_6.mat,7,ILSVRC2012_val_00044012.JPEG.png,31.253299713134766,0.8368627429008484,33.192996978759766,144,0.8935263156890869,0.0001403914939146489,3.1770409398119956,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,1,ILSVRC2012_val_00000491.JPEG.png,25.03400993347168,0.5394995808601379,26.7491512298584,141,0.6530505418777466,0.0002584801404736936,3.149172923971986,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,2,ILSVRC2012_val_00002289.JPEG.png,25.99132537841797,0.6447970271110535,27.569520950317383,159,0.816300630569458,0.00030490095377899706,3.1208248492440034,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,3,ILSVRC2012_val_00005941.JPEG.png,23.974302291870117,0.7128994464874268,25.109272003173828,158,0.7938815951347351,0.0004132497124373913,3.062323090396007,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,4,ILSVRC2012_val_00007658.JPEG.png,24.682401657104492,0.5772281289100647,25.996213912963867,149,0.6910948157310486,0.00034902780316770077,3.1968825384759985,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.032703399658203,0.5584582686424255,22.768310546875,149,0.6008723974227905,0.0006835148087702692,3.1414959039719834,250,0.5,0.99,0.96,80.0,2.55,0.1
0.02,2,square_7.mat,6,ILSVRC2012_val_00038157.JPEG.png,24.71350860595703,0.5542823076248169,26.277557373046875,141,0.6441237330436707,0.0002516762469895184,3.118220523543976,250,0.5,0.99,0.96,80.0,2.55,0.1
