noise,kernel,kernel_file,image,psnr,ssim,alpha,gamma1,gamma2,max_iter,method,architecture
0.005,6,blur_6.mat,ILSVRC2012_val_00038157.JPEG.png,31.429922599200495,0.8670379519462585,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00044012.JPEG.png,39.67459226153947,0.9725596308708191,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00000491.JPEG.png,31.47007824134949,0.8643875122070312,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00002289.JPEG.png,35.69428659385278,0.952972948551178,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00005941.JPEG.png,32.42835971364074,0.9438616633415222,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00007658.JPEG.png,32.81995512638305,0.9132248759269714,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00028884.JPEG.png,28.350886611469907,0.8907343745231628,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00038157.JPEG.png,30.034241960918038,0.8250970840454102,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,7,blur_7.mat,ILSVRC2012_val_00044012.JPEG.png,38.28226722103045,0.9650179743766785,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00000491.JPEG.png,31.366072664182134,0.8610906600952148,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00002289.JPEG.png,35.759475286180326,0.949169933795929,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00005941.JPEG.png,32.60168752734628,0.9448540806770325,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00007658.JPEG.png,32.52008855308409,0.9064266681671143,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00028884.JPEG.png,29.099845423019865,0.9061336517333984,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00038157.JPEG.png,30.05343450179883,0.8260924220085144,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,8,blur_8.mat,ILSVRC2012_val_00044012.JPEG.png,37.39324451684067,0.9574928879737854,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,9,gaussian_1_6.mat,ILSVRC2012_val_00000491.JPEG.png,28.222936514520587,0.7686665654182434,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,9,gaussian_1_6.mat,ILSVRC2012_val_00002289.JPEG.png,30.921979509215017,0.916662871837616,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,9,gaussian_1_6.mat,ILSVRC2012_val_00005941.JPEG.png,27.171890362769883,0.8796688914299011,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,9,gaussian_1_6.mat,ILSVRC2012_val_00007658.JPEG.png,27.335112471426314,0.7952343821525574,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,9,gaussian_1_6.mat,ILSVRC2012_val_00028884.JPEG.png,23.60173652708348,0.7126879096031189,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
